material_id,material_name,material_type,biodegradability_score,water_resistance,recycle_time_days,manufacturing_place,moisture_resistance,material_category,product_category,strength_final,weight_capacity_final,co2_emission_final,recyclability_final,cost_per_kg_final,cost_per_unit_final,co2_impact_index,cost_efficiency_index,material_suitability_score,sustainability_score,cost_category
40,Virgin Cardboard,Recycled Paper,0.0010788381742738,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Food,0.0017448559670781,0.014059097978227,0.0060685387910518,0.0032783547139075,0.2606796598391846,0.18776851149861,0.9939314612089482,0.7393203401608154,0.1773907103933139,0.179900081039437,Low
1,Seaweed Film,Organic,0.0099,0.2857142857142857,108.57142857142856,India,0.08,Plastic,Cosmetics,0.0007,0.1,0.0072727272727272,0.0,1.0,13.387298458428102,0.9927272727272728,0.0,0.1209327272727272,0.064045023662486,High
102,Locust bean gum trays,Bio-based polysaccharide,0.92,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7818181818181817,0.3,0.2606796598391846,13.387298458428102,0.2181818181818182,0.7393203401608154,0.3027502158342634,0.4317082624743773,Low
MAT017,Virgin Cardboard,PHA Bioplastic,0.01,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Biopolymer,Cosmetics,0.08,0.025,0.0163636363636363,0.65,0.6189735614307932,13.387298458428102,0.9836363636363636,0.3810264385692068,0.292966280220557,0.3931784577568697,Medium
24,Seaweed-based rigid trays,Bio-based polysaccharide,0.95,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.8363636363636363,0.25,0.2606796598391846,13.387298458428102,0.1636363636363637,0.7393203401608154,0.2962956703797179,0.4148417939217856,Low
1,PHA Bioplastic,Plastic-based,0.009,0.2857142857142857,108.57142857142856,India,0.55,Plastic,Cosmetics,0.00116,0.36,0.0154545454545454,0.3,0.8055987558320372,13.387298458428102,0.9845454545454544,0.1944012441679627,0.2515346698713417,0.2889964616048395,High
15,Virgin Cardboard,Molded Pulp,0.0072406639004149,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Furniture,0.0006090534979423,0.0195645412130637,0.004831032841504,0.0007045408267155,0.2606796598391846,0.9843315643164012,0.995168967158496,0.7393203401608154,0.1787411100994348,0.1827846184979821,Low
82,Orange Peel Composites,Agro-waste composite,0.92,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7999999999999999,0.4,0.2606796598391846,13.387298458428102,0.2,0.7393203401608154,0.3209320340160816,0.4648824759836154,Low
32,Virgin Cardboard,Cellulose Fiber Mold,0.96,0.0,55.0,India,0.3359999999999999,Plastic,Cosmetics,0.012,0.16,0.0145454545454545,0.93,0.2606796598391846,22.0,0.9854545454545456,0.7393203401608154,0.5374774885615361,0.9477593437791364,Low
67,Durian rind composites,Agro-waste composite,0.88,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7727272727272727,0.45,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.3321593067433542,0.483110833301323,Low
72,Virgin Cardboard,Starch-based Plastic,0.0083402489626556,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Electronics,0.000559670781893,0.0131881804043545,0.007996192289386,0.0056546528201995,0.2606796598391846,0.4379580490270406,0.992003807710614,0.7393203401608154,0.1782919364719253,0.1823406398139701,Low
MAT014,Virgin Cardboard,Aluminum (Primary),0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Metal,Cosmetics,0.19,0.054,0.1063636363636363,0.95,0.3623639191290824,13.387298458428102,0.8936363636363637,0.6376360808709176,0.4014272444507281,0.5785386086352673,Medium
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
603,Seaweed Bio-film,Bio-polymer,1.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.002349838892,0.02386002164,0.0030787401436363,0.01249492033,0.2606796598391846,13.387298458428102,0.9969212598563636,0.7393203401608154,0.3314826081187179,0.5710657276776653,Low
1,Mushroom Foam (Mycelium),Foam-based,0.0098,0.2857142857142857,108.57142857142856,India,0.2,Plastic,Cosmetics,0.001,0.3,0.0018181818181818,0.2,0.6734059097978227,13.387298458428102,0.9981818181818182,0.3265940902021773,0.2341975908383995,0.2628621882139872,High
1,PLA Bioplastic,Plastic-based,0.0045,0.2857142857142857,108.57142857142856,India,0.6,Plastic,Cosmetics,0.0013,0.4,0.0109090909090909,0.45,0.5489891135303266,13.387298458428102,0.9890909090909092,0.4510108864696733,0.3150101795560582,0.4070580061494068,Medium
197,Advanced Bio-based polyester Variant 21,Bio-based polyester,0.211,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.0072,0.1,0.9154545454545454,0.93,0.2606796598391846,13.387298458428102,0.0845454545454545,0.7393203401608154,0.321836579470627,0.381377742547151,Low
