material_id,material_name,material_type,biodegradability_score,water_resistance,recycle_time_days,manufacturing_place,moisture_resistance,material_category,product_category,strength_final,weight_capacity_final,co2_emission_final,recyclability_final,cost_per_kg_final,cost_per_unit_final
1,Recycled cardboard / paperboard,Fiber-based (cellulosic),85.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,70.0,75.0,189.61702127659575,13.387298458428102
2,Molded pulp (recycled paper fiber),Fiber-based (cellulosic),85.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,70.0,70.0,189.61702127659575,13.387298458428102
3,"Kraft paper wraps, paper padding",Fiber-based,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,2.0,70.0,70.0,189.61702127659575,13.387298458428102
4,Starch-based foams/peanuts,Bio-based polymer (starch),95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,3.0,85.0,30.0,189.61702127659575,13.387298458428102
5,Mycelium-based molded packaging,Bio-based composite,95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,90.0,20.0,189.61702127659575,13.387298458428102
6,"Bagasse, wheat-straw, other agri fibers",Fiber-based from agro-residues,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,85.0,60.0,189.61702127659575,13.387298458428102
7,"PLA bioplastic (films, rigid)",Bio-based polyester,70.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,4.0,60.0,30.0,189.61702127659575,13.387298458428102
8,"Other compostable bioplastics (PHA, PBS)",Bio-based polyesters,85.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,75.0,25.0,189.61702127659575,13.387298458428102
9,Cellulose / seaweed bio-films,Bio-based polymer films,95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,2.0,90.0,25.0,189.61702127659575,13.387298458428102
10,"PCR PET (bottles, trays)",Recycled fossil plastic,0.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,4.0,4.0,55.0,60.0,189.61702127659575,13.387298458428102
11,PCR HDPE/LDPE,Recycled fossil plastic,0.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,4.0,4.0,55.0,55.0,189.61702127659575,13.387298458428102
12,"Glass (bottles, jars, vials)",Inorganic (silicate),0.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,4.0,3.0,50.0,80.0,189.61702127659575,13.387298458428102
13,Aluminium cans / tins,Metal (aluminium),0.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,5.0,5.0,55.0,85.0,189.61702127659575,13.387298458428102
14,"Bamboo (components, shells)",Lignocellulosic (wood-like),90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,4.0,4.0,90.0,50.0,189.61702127659575,13.387298458428102
15,"Cork, wood, wood-composites",Lignocellulosic,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,4.0,4.0,85.0,60.0,189.61702127659575,13.387298458428102
16,Cotton/jute textile bags,Natural fiber,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,60.0,40.0,189.61702127659575,13.387298458428102
17,Hemp fiber molded packaging,Natural fiber,92.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,4.0,4.0,88.0,55.0,189.61702127659575,13.387298458428102
18,Sugarcane bagasse sheets,Agro-waste fiber,88.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,82.0,65.0,189.61702127659575,13.387298458428102
19,Rice husk composites,Agro-waste composite,85.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,85.0,50.0,189.61702127659575,13.387298458428102
20,Chitin/chitosan films (mushroom/shell),Bio-based polysaccharide,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,2.0,88.0,30.0,189.61702127659575,13.387298458428102
21,Recycled steel tins,Metal (steel),0.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,5.0,5.0,60.0,90.0,189.61702127659575,13.387298458428102
22,PCR PP (polypropylene) trays,Recycled fossil plastic,0.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,4.0,4.0,58.0,50.0,189.61702127659575,13.387298458428102
23,Beeswax-coated paper,Bio-based coated fiber,85.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,2.0,80.0,45.0,189.61702127659575,13.387298458428102
24,Seaweed-based rigid trays,Bio-based polysaccharide,95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,92.0,25.0,189.61702127659575,13.387298458428102
25,Newspaper honeycomb inserts,Recycled fiber composite,88.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,4.0,75.0,70.0,189.61702127659575,13.387298458428102
26,Algae-based plastics,Bio-based (algae),95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,95.0,20.0,189.61702127659575,13.387298458428102
27,Cellophane films,Regenerated cellulose,95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,2.0,85.0,40.0,189.61702127659575,13.387298458428102
28,Cornstarch-based bioplastic trays,Bio-based starch,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,70.0,25.0,189.61702127659575,13.387298458428102
29,Coconut coir padding,Natural fiber (coir),92.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,88.0,50.0,189.61702127659575,13.387298458428102
30,Palm leaf trays,Lignocellulosic (palm),95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,2.0,90.0,30.0,189.61702127659575,13.387298458428102
31,Banana fiber composites,Agro-waste fiber,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,85.0,45.0,189.61702127659575,13.387298458428102
32,Cassava starch foams,Bio-based starch,95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,3.0,82.0,20.0,189.61702127659575,13.387298458428102
33,Beet pulp molded pulp,Agro-waste fiber,88.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,80.0,55.0,189.61702127659575,13.387298458428102
34,Carrot pulp trays,Agro-waste composite,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,2.0,85.0,40.0,189.61702127659575,13.387298458428102
35,Tapioca-based films,Bio-based starch,95.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,2.0,78.0,25.0,189.61702127659575,13.387298458428102
36,Corn cob fillers,Agro-waste particle,92.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,3.0,88.0,60.0,189.61702127659575,13.387298458428102
37,Peanut shell composites,Agro-waste composite,85.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,3.0,3.0,85.0,50.0,189.61702127659575,13.387298458428102
38,Sorghum stalk padding,Lignocellulosic,90.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,2.0,2.0,87.0,55.0,189.61702127659575,13.387298458428102
39,Flax fiber bags,Natural fiber,92.0,0.2857142857142857,108.57142857142857,India,0.33599999999999997,Plastic,Cosmetics,4.0,4.0,90.0,60.0,189.61702127659575,13.387298458428102
