material_id,material_name,material_type,biodegradability_score,water_resistance,recycle_time_days,manufacturing_place,moisture_resistance,material_category,product_category,strength_final,weight_capacity_final,co2_emission_final,recyclability_final,cost_per_kg_final,cost_per_unit_final,co2_impact_index,cost_efficiency_index,material_suitability_score
1,Recycled cardboard / paperboard,Fiber-based (cellulosic),0.85,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.6363636363636364,0.75,0.2606796598391846,13.387298458428102,0.36363636363636365,0.7393203401608154,0.401295670379718
2,Molded pulp (recycled paper fiber),Fiber-based (cellulosic),0.85,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.6363636363636364,0.7000000000000001,0.2606796598391846,13.387298458428102,0.36363636363636365,0.7393203401608154,0.39129567037971796
3,"Kraft paper wraps, paper padding",Fiber-based,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.6363636363636364,0.7000000000000001,0.2606796598391846,13.387298458428102,0.36363636363636365,0.7393203401608154,0.39429567037971797
4,Starch-based foams/peanuts,Bio-based polymer (starch),0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.06,0.7727272727272727,0.3,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.3121593067433543
5,Mycelium-based molded packaging,Bio-based composite,0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.8181818181818181,0.2,0.2606796598391846,13.387298458428102,0.18181818181818188,0.7393203401608154,0.28811385219789976
6,"Bagasse, wheat-straw, other agri fibers",Fiber-based from agro-residues,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7727272727272727,0.6,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.3651593067433543
7,"PLA bioplastic (films, rigid)",Bio-based polyester,0.7000000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.08,0.5454545454545454,0.3,0.2606796598391846,13.387298458428102,0.4545454545454546,0.7393203401608154,0.301886579470627
8,"Other compostable bioplastics (PHA, PBS)",Bio-based polyesters,0.85,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.6818181818181818,0.25,0.2606796598391846,13.387298458428102,0.31818181818181823,0.7393203401608154,0.29675021583426336
9,Cellulose / seaweed bio-films,Bio-based polymer films,0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.8181818181818181,0.25,0.2606796598391846,13.387298458428102,0.18181818181818188,0.7393203401608154,0.29361385219789976
10,"PCR PET (bottles, trays)",Recycled fossil plastic,0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.008,0.08,0.5,0.6,0.2606796598391846,13.387298458428102,0.5,0.7393203401608154,0.26193203401608156
11,PCR HDPE/LDPE,Recycled fossil plastic,0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.008,0.08,0.5,0.55,0.2606796598391846,13.387298458428102,0.5,0.7393203401608154,0.25193203401608155
12,"Glass (bottles, jars, vials)",Inorganic (silicate),0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.008,0.06,0.45454545454545453,0.8,0.2606796598391846,13.387298458428102,0.5454545454545454,0.7393203401608154,0.30247748856153617
13,Aluminium cans / tins,Metal (aluminium),0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.01,0.1,0.5,0.85,0.2606796598391846,13.387298458428102,0.5,0.7393203401608154,0.31643203401608155
14,"Bamboo (components, shells)",Lignocellulosic (wood-like),0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.008,0.08,0.8181818181818181,0.5,0.2606796598391846,13.387298458428102,0.18181818181818188,0.7393203401608154,0.34511385219789975
15,"Cork, wood, wood-composites",Lignocellulosic,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.008,0.08,0.7727272727272727,0.6,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.3696593067433543
16,Cotton/jute textile bags,Natural fiber,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.5454545454545454,0.4,0.2606796598391846,13.387298458428102,0.4545454545454546,0.7393203401608154,0.34788657947062707
17,Hemp fiber molded packaging,Natural fiber,0.92,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.008,0.08,0.7999999999999999,0.55,0.2606796598391846,13.387298458428102,0.20000000000000007,0.7393203401608154,0.3599320340160816
18,Sugarcane bagasse sheets,Agro-waste fiber,0.88,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7454545454545454,0.65,0.2606796598391846,13.387298458428102,0.25454545454545463,0.7393203401608154,0.37488657947062703
19,Rice husk composites,Agro-waste composite,0.85,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7727272727272727,0.5,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.33765930674335426
20,Chitin/chitosan films (mushroom/shell),Bio-based polysaccharide,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7999999999999999,0.3,0.2606796598391846,13.387298458428102,0.20000000000000007,0.7393203401608154,0.2979320340160816
21,Recycled steel tins,Metal (steel),0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.01,0.1,0.5454545454545454,0.9,0.2606796598391846,13.387298458428102,0.4545454545454546,0.7393203401608154,0.32188657947062704
22,PCR PP (polypropylene) trays,Recycled fossil plastic,0.0,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.008,0.08,0.5272727272727272,0.5,0.2606796598391846,13.387298458428102,0.4727272727272728,0.7393203401608154,0.23920476128880883
23,Beeswax-coated paper,Bio-based coated fiber,0.85,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7272727272727273,0.45,0.2606796598391846,13.387298458428102,0.2727272727272727,0.7393203401608154,0.3277047612888088
24,Seaweed-based rigid trays,Bio-based polysaccharide,0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.8363636363636363,0.25,0.2606796598391846,13.387298458428102,0.1636363636363637,0.7393203401608154,0.29629567037971793
25,Newspaper honeycomb inserts,Recycled fiber composite,0.88,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.08,0.6818181818181818,0.7000000000000001,0.2606796598391846,13.387298458428102,0.31818181818181823,0.7393203401608154,0.3952502158342634
26,Algae-based plastics,Bio-based (algae),0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.8636363636363636,0.2,0.2606796598391846,13.387298458428102,0.13636363636363635,0.7393203401608154,0.2835683976524452
27,Cellophane films,Regenerated cellulose,0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7727272727272727,0.4,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.3281593067433543
28,Cornstarch-based bioplastic trays,Bio-based starch,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.6363636363636364,0.25,0.2606796598391846,13.387298458428102,0.36363636363636365,0.7393203401608154,0.30879567037971795
29,Coconut coir padding,Natural fiber (coir),0.92,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7999999999999999,0.5,0.2606796598391846,13.387298458428102,0.20000000000000007,0.7393203401608154,0.3454320340160816
30,Palm leaf trays,Lignocellulosic (palm),0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.04,0.8181818181818181,0.3,0.2606796598391846,13.387298458428102,0.18181818181818188,0.7393203401608154,0.30411385219789977
31,Banana fiber composites,Agro-waste fiber,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7727272727272727,0.45,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.33515930674335426
32,Cassava starch foams,Bio-based starch,0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.06,0.7454545454545454,0.2,0.2606796598391846,13.387298458428102,0.25454545454545463,0.7393203401608154,0.294886579470627
33,Beet pulp molded pulp,Agro-waste fiber,0.88,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.006,0.06,0.7272727272727273,0.55,0.2606796598391846,13.387298458428102,0.2727272727272727,0.7393203401608154,0.35670476128880885
34,Carrot pulp trays,Agro-waste composite,0.9,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7727272727272727,0.4,0.2606796598391846,13.387298458428102,0.2272727272727273,0.7393203401608154,0.3206593067433543
35,Tapioca-based films,Bio-based starch,0.9500000000000001,0.2857142857142857,108.57142857142856,India,0.3359999999999999,Plastic,Cosmetics,0.004,0.04,0.7090909090909091,0.25,0.2606796598391846,13.387298458428102,0.2909090909090909,0.7393203401608154,0.3045229431069907
