product_id,sector,strength_score,weight_capacity_score,barrier_score ,biodegradability_score,co2_emission_score,recyclability_percent,cost_score,reuse_potential_score,category_name,fragility_level,requires_cushioning,moisture_sensitive,temperature_sensitive,typical_weight_kg,product_weight_g,product_volume_cm3,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material,flag_weight_outlier,flag_volume_outlier,flag_price_outlier,main_packaging_material,barrier_score,product_name_final,category_final,price_final
1,Electronics,3.0,3.0,3.0,85.0,70.0,72.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Smartphone box,,
2,Electronics,3.0,4.0,3.0,88.0,70.0,73.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Laptop shipping pack,,
3,Electronics,3.0,3.0,3.0,85.0,70.0,75.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Earbuds/headphones retail box,,
4,Electronics,3.0,3.0,3.0,90.0,78.0,55.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Fragile gadget shipper with loose fill,,
5,Food,3.0,3.0,4.0,80.0,75.0,28.0,4.0,1.0,,,,,,,,,,,,,,,,,,,Snack bar wrapper,,
6,Food,3.0,3.0,5.0,65.0,55.0,20.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Chips / dry snacks bag,,
7,Food,3.0,3.0,4.0,85.0,80.0,45.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Ready-meal tray ,,
8,Food,5.0,5.0,5.0,0.0,55.0,85.0,3.0,2.0,,,,,,,,,,,,,,,,,,,Beverage can,,
9,Food,4.0,3.0,5.0,0.0,50.0,82.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Sauce or jam jar,,
10,Food,3.0,3.0,4.0,60.0,60.0,40.0,3.0,1.0,,,,,,,,,,,,,,,,,,,Dairy in paper based cup,,
11,Food,3.0,3.0,3.0,85.0,70.0,75.0,4.0,3.0,,,,,,,,,,,,,,,,,,,Premium chocolate box,,
12,Cosmetics,4.0,3.0,5.0,10.0,52.0,80.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Glass skincare jar,,
13,Cosmetics,4.0,4.0,4.0,0.0,55.0,58.0,2.0,3.0,,,,,,,,,,,,,,,,,,,PCR PET skincare bottle,,
14,Cosmetics,4.0,4.0,4.0,70.0,80.0,45.0,4.0,4.0,,,,,,,,,,,,,,,,,,,Bamboo-cased lipstick / compact,,
15,Cosmetics,5.0,5.0,5.0,0.0,55.0,85.0,3.0,4.0,,,,,,,,,,,,,,,,,,,Aluminium cosmetic tin,,
16,Cosmetics,4.0,4.0,5.0,40.0,60.0,60.0,5.0,5.0,,,,,,,,,,,,,,,,,,,Refillable foundation bottle,,
17,Cosmetics,5.0,5.0,5.0,80.0,80.0,85.0,4.0,5.0,,,,,,,,,,,,,,,,,,,Refillable aluminium bodywash bottle,,
18,Pharmaceuticals,4.0,3.0,5.0,5.0,50.0,30.0,2.0,1.0,,,,,,,,,,,,,,,,,,,Blister pack for tablets ,,
19,Pharmaceuticals,4.0,3.0,5.0,2.0,52.0,70.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Cough syrup bottle ,,
20,Beverages,4.0,4.0,5.0,0.0,55.0,60.0,2.0,4.0,,,,,,,,,,,,,,,,,,,Soda PET bottle ,,
21,Beverages,4.0,3.0,5.0,0.0,50.0,82.0,3.0,5.0,,,,,,,,,,,,,,,,,,,Premium glass water ,,
22,Textiles/Apparel,3.0,3.0,3.0,80.0,65.0,60.0,2.0,2.0,,,,,,,,,,,,,,,,,,,Tshirt shipping envelope ,,
23,Textiles/Apparel,3.0,3.0,3.0,85.0,70.0,75.0,3.0,3.0,,,,,,,,,,,,,,,,,,,Jeans retail box ,,
