material_id,material_name,material_type,strength_score,weight_capacity_score,biodegradability_score,co2_emission_score,recyclability_percent,material_type_encoded,eco_score,performance_score,eco_performance_ratio,is_biodegradable,is_recyclable,dual_end_of_life,strength_tier,co2_category
1,Virgin Kraft Paper,Paper/Cardboard,0.5,0.25,0.888888888888889,0.9233097880928357,0.8631578947368421,7,0.9495529160549847,0.375,0.4493713705812708,1,1,1,medium,ultra_low
2,Recycled Kraft Paper,Paper/Cardboard,0.5,0.25,0.9090909090909092,0.9384460141271445,0.9473684210526315,7,0.9935940210863472,0.375,0.4679765462028528,1,1,1,medium,ultra_low
3,Corrugated Cardboard (Virgin),Paper/Cardboard,0.5,0.75,0.8585858585858587,0.9212916246215944,0.8947368421052632,7,0.9444815160816762,0.625,0.3056745785645825,1,1,1,medium,ultra_low
4,Corrugated Cardboard (Recycled),Paper/Cardboard,0.5,0.75,0.8787878787878789,0.9414732593340062,0.968421052631579,7,0.9878553316428664,0.625,0.3187545808197553,1,1,1,medium,ultra_low
5,Flat Cardboard (Paperboard),Paper/Cardboard,0.5,0.5,0.8484848484848485,0.8708375378405652,0.8210526315789474,7,0.889763779527559,0.5,0.3453938095506568,1,1,1,medium,low_emission
6,Molded Fiber Pulp,Paper/Cardboard,0.25,0.5,0.9292929292929294,0.9455095862764884,0.9263157894736842,7,1.0,0.375,0.470682753565992,1,1,1,lightweight,ultra_low
7,PLA Bioplastic (Virgin),Bioplastic,0.75,0.5,0.8282828282828284,0.8486377396569122,0.47368421052631576,1,0.7585746696917124,0.625,0.2495771550995095,1,1,1,heavy_duty,low_emission
8,PLA Bioplastic (Recycled),Bioplastic,0.75,0.5,0.8080808080808082,0.9071644803229062,0.5263157894736842,1,0.7968770852795941,0.625,0.2611349157129165,1,1,1,heavy_duty,ultra_low
9,PHA Bioplastic,Bioplastic,0.5,0.5,0.9595959595959597,0.8234106962663976,0.3684210526315789,1,0.7725877485653276,0.5,0.3041382420928003,1,1,1,medium,low_emission
10,Bamboo Fiber Packaging,Natural Fiber,1.0,0.75,0.9393939393939394,0.9323915237134208,0.7894736842105263,6,0.9543574002402242,0.875,0.2293369791960309,1,1,1,heavy_duty,ultra_low
11,Bagasse (Sugarcane Waste),Natural Fiber,0.25,0.25,0.9797979797979799,0.9616548940464179,0.631578947368421,6,0.9384759108501268,0.25,0.5679229858487906,1,1,1,lightweight,ultra_low
12,Mycelium Packaging,Bio-based Composite,0.0,0.25,1.0,0.9848637739656914,0.0,0,0.7599092486320564,0.125,0.6475869651012008,1,0,0,lightweight,ultra_low
13,Seaweed/Kelp Packaging,Bio-based Composite,0.0,0.0,0.98989898989899,0.9899091826437942,0.0,0,0.7579073802215401,0.0,0.9933754298923155,1,0,0,lightweight,ultra_low
14,Expanded Polystyrene (EPS),Conventional Plastic,0.0,0.25,0.010101010101010102,0.7235116044399597,0.14736842105263157,2,0.21059655678633393,0.125,0.26082482945255675,0,0,0,lightweight,moderate
15,HDPE Plastic,Conventional Plastic,0.5,1.0,0.020202020202020204,0.8496468213925328,0.3263157894736842,2,0.33871613505938875,0.75,0.10148277611772,0,1,0,medium,low_emission
16,PET Plastic,Conventional Plastic,0.75,0.75,0.030303030303030304,0.7144298688193744,0.6105263157894737,2,0.36193780862137986,0.75,0.10762812200484861,0,1,0,heavy_duty,moderate
17,LDPE Plastic (Virgin),Conventional Plastic,0.25,0.75,0.020202020202020204,0.8496468213925328,0.29473684210526313,2,0.32870679300680633,0.5,0.14786886170152785,0,1,0,lightweight,low_emission
18,LDPE Plastic (Recycled),Conventional Plastic,0.25,0.75,0.020202020202020204,0.9828456104944501,0.631578947368421,2,0.5059388762845323,0.5,0.21026667418390932,0,1,0,lightweight,ultra_low
19,Aluminum (Virgin),Metal,1.0,1.0,0.0,0.0,0.7052631578947368,4,0.0,1.0,0.0,0,1,0,heavy_duty,high_emission
20,Aluminum (Recycled),Metal,1.0,1.0,0.0,0.922300706357215,1.0,4,0.5813425864139863,1.0,0.12279415910244121,0,1,0,heavy_duty,ultra_low
21,Glass (Virgin),Glass,0.75,0.5,0.0,0.9273461150353179,0.7789473684210526,3,0.5139463499265982,0.625,0.17574843547386818,0,1,0,heavy_duty,ultra_low
